Version,Code name,Docs,Release,End of Standard Support,End of Life
Ubuntu 19.10 ,Eoan Ermine ,Release Notes,"October 17, 2019","July, 2020","July, 2020"
Ubuntu 18.04.4 LTS ,Bionic Beaver,Changes,"February 12, 2020 ",April 2023 ,April 2028 
Ubuntu 18.04.3 LTS ,Bionic Beaver,Changes,"August 8, 2019 ",April 2023 ,April 2028 
Ubuntu 18.04.2 LTS ,Bionic Beaver,Changes,"February 15, 2019 ",April 2023 ,April 2028 
Ubuntu 18.04.1 LTS ,Bionic Beaver,Changes,"July 26, 2018 ",April 2023 ,April 2028 
Ubuntu 18.04 LTS ,Bionic Beaver,Release Notes,"April 26, 2018 ",April 2023 ,April 2028 
Ubuntu 16.04.6 LTS ,Xenial Xerus,Changes,"February 28, 2019 ",April 2021 ,April 2024 
Ubuntu 16.04.5 LTS ,Xenial Xerus,Changes,"August 2, 2018 ",April 2021 ,April 2024 
Ubuntu 16.04.4 LTS ,Xenial Xerus,Changes,"March 1, 2018 ",April 2021 ,April 2024 
Ubuntu 16.04.3 LTS ,Xenial Xerus,Changes,"August 3, 2017 ",April 2021 ,April 2024 
Ubuntu 16.04.2 LTS ,Xenial Xerus,Changes,"February 16, 2017 ",April 2021 ,April 2024 
Ubuntu 16.04.1 LTS ,Xenial Xerus,Changes,"July 21, 2016 ",April 2021 ,April 2024 
Ubuntu 16.04 LTS,Xenial Xerus ,Release Notes,"April 21, 2016 ",April 2021 ,April 2024 
Ubuntu 14.04.6 LTS ,Trusty Tahr,Changes,"March 7, 2019 ",April 2019,April 2022 
Ubuntu 14.04.5 LTS ,Trusty Tahr,Changes,"August 4, 2016 ",April 2019,April 2022 
Ubuntu 14.04.4 LTS ,Trusty Tahr,Changes,"February 18, 2016 ",HWE August 2016,April 2022 
Ubuntu 14.04.3 LTS ,Trusty Tahr,Changes,"August 6, 2015 ",HWE August 2016,April 2022 
Ubuntu 14.04.2 LTS ,Trusty Tahr,Changes,"February 20, 2015 ",HWE August 2016,April 2022 
Ubuntu 14.04.1 LTS ,Trusty Tahr,Changes,"July 24, 2014 ",April 2019,April 2022 
Ubuntu 14.04 LTS ,Trusty Tahr,Release Notes,"April 17, 2014 ",April 2019 ,April 2022 
